Buenos Aires;-34.9204948;-57.95356570000001
Jujuy;-24.1857864;-65.29947670000001
Salta;-24.7821269;-65.42319759999998
Tucuman;-26.8082848;-65.21759029999998
Santiago del estero;-27.7910388;-64.27344240000002
Formosa;-26.1894804;-58.22428060000004
Chaco;-27.4518622;-58.985554699999966
Santa Fe;-32.9442426;-60.65053879999999
Corrientes;-27.5048498;-58.7804337
Misiones;-27.3621374;-55.90087459999995
Entre Rios;-31.74131970000001;-60.51154709999997
Cordoba;-31.42008329999999;-64.18877609999998
La Rioja;-29.4193793;-66.8559932
San Juan;-31.5351074;-68.53859410000001
San Luis;-33.3017267;-66.33775220000001
Catamarca;-28.469581;-65.77954410000001
Mendoza;-32.8894587;-68.84583859999998
La Pampa;-36.620922;-64.2912369
Neuquen;-38.95167840000001;-68.05918880000002
Rio Negro;-40.8119087;-62.99620440000001
Chubut;-43.2998581;-65.09948729999996
Santa Cruz;-51.6352821;-69.2474353
Tierra del fuego;-54.8019121;-68.30295109999997
